"Timestamp","Developing a computing workflow","Navigating terminal","Using Amazon EC2","Installing and running mothur","Executing R scripts","Choosing ecological statistics to analyze microbial community data","Using software installed on an Amazon EC2 image","Assembling metagenomes and determining assembly quality","Running a local BLAST","Retrieving data from NCBI","I understand what “cd” means.","I know how to assess the quality of Illumina data.","I know the computational commands to summarize sequencing data in mothur","I know how to run R.","I can name at least two different microbial metagenome databases/repositories.","I know what an “R package” is.","I understand the structure of an OTU table.","I know what a “k-mer” is.","I know what a contig is.","I know how to start an EC2 instance.","I know the difference between within-sample (alpha) and comparative (beta) diversity.","I know how to use metadata to guide community analyses.","I know how to assemble shotgun metagenomic data.","I know how to map reads in metagenome analysis","I can independently execute the steps of microbial SHOTGUN metagenomic analysis from raw data processing to statistics. ","I can independently execute the steps of microbial AMPLICON metagenomic analysis from raw data processing to statistics. ","I can make informed choices for analysis parameters for AMPLICON analyses in mothur. ","I understand the differences between unassembled and assembled shotgun metagenomic data.","I understand the limitations of unassembled and assembled shotgun metagenomic data.","I understand what a k-mer is.","I can determine the quality of a shotgun metegenome assembly.","I can think through the steps of a sequencing analysis from start to finish.","I can use an R package to analyze data.","I can move data from at least one other program into R.","I can find and move files on a computer using terminal.","I can evaluate the quality of raw sequencing data.","I can start a remote session using tmux","I can visualize microbial sequencing data in R","I can search for public datasets that are relevant to my own project.","I CANNOT process and quality control SHOTGUN metagenome data unless someone else helps me get started.","I CANNOT process and quality control AMPLICON metagenome data unless someone else helps me get started.","I can complete an analysis project if I have a lot of time to complete the project.","I can complete an analysis project if I have just the help of my research mentor for assistance.","I can find ways of overcoming the problem if I get stuck at a point during data analysis.","I CANNOT complete a data analysis project unless I can call someone for help if I get stuck.","I understand how to design an experiment that minimizes limitations inherent to sequencing methods.","I understand the technical limitations of metagenome data.","Navigating around a Unix file system to view and manipulate files","Making and using a ""key"" for secure EC2 connection","Obtain summary information about sequence files (fasta, fna, fastq)","Calculating resemblance (e.g., similarity, dissimilarity, or distance) matrices from an OTU table","Trimming or filtering out errors from sequences by identifying low coverage kmers in high coverage areas","Assembling a metagenome","Differentiating data modes in R, including numeric, complex, logical, character modes","Testing hypotheses about differences in community structure across samples or sites","Identifying features of public sequence databases that are useful to your research","Suppose that you are doing a 16S rRNA gene marker analysis of the gut microbial community from a non-model worm.  This worm has a unique digestive tract evolved for the breakdown of a specialized diet.  Discuss a sequencing strategy, a number of challenges you expect to face, and what kinds of additional resources are needed to help explore your data set.","Suppose that you are using the Illumina platform to sequence total DNA from soil samples.  For this particular study, the soil samples come evenly distributed from two plot types on a single farm - one growing corn, the other dairy cow pasture. Discuss one or more approaches you would take to analyze the data, as well as your expected sensitivity and specificity to taxonomic and functional sequence identification. Include in your discussion the technical limitations of your analysis.","What is your age?","What is your academic status?","What is your gender?","What is your ethnicity? CHOOSE ALL THAT APPLY","Please provide any additional comments about your expectations for the workshop below. ","Please provide an anonymous code (letters and/or numbers) below.  Please remember this code so that you can use it in the post-survey. This will be used to match pre- and post-course surveys while protecting your anonymity."
"2017/08/07 9:18:27 AM AST","Low Ability","Low Ability","No Ability","I'm not sure what this is","Intermediate Ability","Low Ability","No Ability","No Ability","Low Ability","Low Ability","Agree","Disagree","Strongly Disagree","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Disagree","Strongly Disagree","Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Agree","Disagree","Strongly Disagree","Agree","Strongly Agree","Strongly Agree","Agree","Strongly Disagree","Strongly Agree","Disagree","Strongly Agree","Strongly Agree","Agree","Disagree","Agree","Strongly Agree","Agree","Agree","I do not know what this is.","I do not know what this is.","I do not know what this is.","Uncomfortable","Very Uncomfortable","Very Uncomfortable","Very Uncomfortable","Uncomfortable","Very Uncomfortable","I would not know where to start. ","Do not know where to start. ","23","Graduate Student","Female","Caucasian/White","I'm looking to have a basic understanding and knowledge of the resources and programs available for analyzing and presenting my data. ","KBSpass"
"2017/08/07 9:18:39 AM AST","No Ability","Low Ability","No Ability","Intermediate Ability","No Ability","Low Ability","No Ability","No Ability","Intermediate Ability","Intermediate Ability","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Agree","Disagree","Agree","Disagree","Agree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Agree","Disagree","Disagree","Disagree","Agree","Disagree","Disagree","Agree","Agree","Disagree","Disagree","Disagree","Agree","Agree","Agree","Disagree","Agree","Agree","Disagree","Disagree","Uncomfortable","Uncomfortable","Comfortable","Comfortable","Uncomfortable","Very Uncomfortable","Uncomfortable","Comfortable","Uncomfortable","","compare bacterial community diversity through 16S rRNA analysis, compare the plot samples to determine variability present on one plot and then compare plots diversity to each other. 
use metagenomic comparisons to compare functional genes/antibiotic resistance genes/mobile element genes between samples from the same plot and then between plots. we are limited by the number of samples that were taken and the amount of coverage we have in the sequencing. ","","Ph.D.-holding Professional","Female","Caucasian/White","","12345"
"2017/08/07 9:21:20 AM AST","Low Ability","No Ability","No Ability","No Ability","No Ability","Low Ability","No Ability","No Ability","Intermediate Ability","Low Ability","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Strongly Disagree","Strongly Disagree","Disagree","Strongly Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Disagree","Disagree","Disagree","Disagree","Strongly Disagree","Strongly Disagree","Disagree","Agree","Agree","Disagree","Disagree","Agree","Disagree","Disagree","Disagree","Uncomfortable","Uncomfortable","Very Uncomfortable","Uncomfortable","Very Uncomfortable","Uncomfortable","Uncomfortable","Uncomfortable","Uncomfortable","Start with DNA extraction before proceeding to sequencing. ","Approach: Collect soil samples from both plots and extract DNA. The proceed to Illumina sequencing. 
Limitations: It would be hard to get samples that sufficiently demonstrate all the microbial communities in both plots. ","27","Graduate Student","Female","Asian/Asian American","Getting to to use Mothur and becoming familiar with metagenomic analysis. ","1089"
"2017/08/07 9:22:39 AM AST","I'm not sure what this is","Low Ability","No Ability","No Ability","Low Ability","No Ability","No Ability","","Intermediate Ability","Low Ability","Agree","Disagree","Strongly Disagree","Agree","Disagree","Agree","Disagree","Agree","Agree","Disagree","Agree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Agree","Disagree","Agree","Disagree","Agree","Disagree","Disagree","Agree","Disagree","Disagree","Disagree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Disagree","Agree","Comfortable","Uncomfortable","Comfortable","Uncomfortable","Uncomfortable","Uncomfortable","Uncomfortable","Uncomfortable","Uncomfortable","I would expect to run it on Illumin Mi-Seq after DNA extraction. Potentially the quality/purity/quantity of sample could affect the sequencing results. Then the dataset received with sequencing specifications associated with the sequences. The length of contig reads may be a challenge. Additional resources may include  scientific journals and trouble shooting with the sequencing company/platform.","Some technical limitations may include the specific tags associated with each sample in the data received from sequencing. ","23","Graduate Student","Female","Caucasian/White","","0415"
"2017/08/07 9:23:02 AM AST","Low Ability","Low Ability","No Ability","No Ability","No Ability","No Ability","No Ability","No Ability","No Ability","No Ability","Strongly Agree","Disagree","Strongly Disagree","Disagree","Agree","Agree","Strongly Disagree","Strongly Disagree","Strongly Agree","Strongly Disagree","Strongly Agree","Agree","Disagree","Strongly Disagree","Disagree","Agree","Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Agree","Agree","Disagree","Agree","Agree","","Disagree","Disagree","Disagree","Comfortable","I do not know what this is.","I do not know what this is.","Very Uncomfortable","I do not know what this is.","Uncomfortable","Very Uncomfortable","Uncomfortable","Comfortable","Amplicon sequencing; since it is a non-model organisms I suspect there may be a large number of uncharacterized taxa; may be useful to culture some of the gut microbiota in this case","I would use paired end shotgun sequencing to identify taxa and functional potential of sequences in this study. You can use 16S so you can compare your data to published datasets, and the rest of the sequence data for functional analysis. The dairy cow pasture may pose some contamination issues. May be worth also looking at the gut and skin microbiota of cows as a control.","29","Graduate Student","Female","African/African American/Black","N/A","4251"
"2017/08/07 9:23:32 AM AST","I'm not sure what this is","Low Ability","No Ability","No Ability","Intermediate Ability","Low Ability","No Ability","No Ability","Low Ability","Low Ability","Agree","Disagree","Strongly Disagree","Agree","Disagree","Strongly Agree","Agree","Agree","Agree","Strongly Disagree","Strongly Agree","Agree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Disagree","Strongly Disagree","Strongly Disagree","Disagree","Disagree","Strongly Disagree","Strongly Disagree","Strongly Agree","Strongly Agree","Agree","Disagree","Disagree","Agree","Disagree","Strongly Agree","Strongly Agree","Agree","Agree","Agree","Agree","Disagree","Agree","Uncomfortable","Uncomfortable","Uncomfortable","Uncomfortable","Uncomfortable","Uncomfortable","Comfortable","Uncomfortable","Uncomfortable","I am not sure what sequencing strategy I could use. I could compare the digestive track 16 rRNA sequences to a model worm's gut microbial community to first identity similarities/dissimilarities. I could use BLAST to find other datasets of a related worm. ","I would want to calculate relative abundances of microbial communities from either fields and then run a PERMANOVA on the difference in community relative abundance between the two fields. I could also specifically sort out a certain functional group of mircorganisms (methanogens, for instance) and then compare the relative abundance of these taxa among the two fields. Technical limitations include assessing the amount of total biomass vs. species abundance (so relative abundance allows you to more easily compare the 2 fields). It would also be important to incorporate metadata into these analyses. ","25","Graduate Student","Female","Caucasian/White","I'm looking forward to learning how to process my raw sequences into a quality dataset and being able to analyze them with appropriate statistical analyses. ","0116"
"2017/08/07 9:24:12 AM AST","I'm not sure what this is","I'm not sure what this is","No Ability","No Ability","Low Ability","No Ability","No Ability","No Ability","Intermediate Ability","Intermediate Ability","Disagree","Strongly Disagree","Strongly Disagree","Disagree","Strongly Disagree","Strongly Agree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Agree","Strongly Agree","Strongly Disagree","Agree","Strongly Disagree","Strongly Disagree","Disagree","Strongly Agree","Strongly Agree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Agree","Strongly Disagree","Strongly Disagree","I do not know what this is.","I do not know what this is.","Comfortable","Very Uncomfortable","Very Uncomfortable","Very Uncomfortable","Uncomfortable","Very Uncomfortable","Very Uncomfortable","First I would use PCR primers that would locate the 16S rRNA for different bacterial families. Once I have figured out how diverse the gut microbial community is of this worm, I would then clone these fragments into a plasmid and transform the plasmid into E. coli. I would then use a colony PCR to digest the fragements and use primers to ensure I have one distinct fragment. I would clean this PCR product up and then send off for Sanger sequencing. The main challenge I would expect to face is scale. There would be a large amount of bacterial families in the gut microbiome that this analysis would take forever (well, not literally but weeks to months). Resources I would need: Reference material to tell me what families to expect (which would guide me towards knowing which primers to use), undergrads (in order to help me with all the cloning and transformation and PCR), and 10 thermocyclers so I can streamline this process.","I have no idea. I might start in R since I have a tiny background. I would have to look up tutorials on scripts and packages to install in order to guide me in the right direction. I could use R to assess how many different orders/families of bacteria I have an the relative abundance. I really don't know beyond this point.","24","Graduate Student","Male","Caucasian/White","I hope to learn lots about big data and how to analyze it! On a scale of 1 to 10 I am about a 0.5....I'm ready to soak everything up!","3324"
"2017/08/07 9:25:16 AM AST","No Ability","No Ability","No Ability","Low Ability","Intermediate Ability","No Ability","No Ability","No Ability","Intermediate Ability","Intermediate Ability","Agree","Disagree","Disagree","Strongly Agree","Agree","Agree","Agree","Disagree","Agree","Strongly Disagree","Agree","Agree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Disagree","Disagree","Disagree","Strongly Disagree","Strongly Disagree","Agree","Agree","Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Disagree","Agree","Agree","Disagree","Disagree","Agree","Strongly Agree","Disagree","Agree","Very Uncomfortable","Uncomfortable","Very Uncomfortable","Very Uncomfortable","Very Uncomfortable","Very Uncomfortable","Uncomfortable","Uncomfortable","Uncomfortable","Shot-gun sequencing. Challenges would be OTU assembly and being able to match them to a limited database given this is a non-model organism. Resources: BLAST and NCBI, R and Mothur and I am sure there are others I am not aware of. ","You would run into issues with the most abundant taxa overshadowing the rare taxa, same with functional sequences. Old DNA from recently dead microorganisms will also be in this analysis and can make actual functional assessment difficult. Dormant microbes may also contribute to this issue. ","28","Graduate Student","Female","Caucasian/White;Latino(a)","I am very uncomfortable with anything related to sequence data and analysis's so I expect this course to be a 101 and a huge help moving forward with my data.","0798"
"2017/08/07 9:25:28 AM AST","Intermediate Ability","Intermediate Ability","Low Ability","No Ability","Intermediate Ability","Intermediate Ability","I'm not sure what this is","Low Ability","Intermediate Ability","Low Ability","Agree","Disagree","Strongly Disagree","Agree","Disagree","Agree","Strongly Agree","Strongly Disagree","Agree","Disagree","Strongly Agree","Strongly Agree","Agree","Agree","Disagree","Agree","Disagree","Agree","Disagree","Strongly Disagree","Disagree","Agree","Strongly Agree","Strongly Agree","Agree","Disagree","Strongly Disagree","Agree","Disagree","Strongly Agree","Disagree","Agree","Disagree","Agree","Disagree","Disagree","Disagree","Uncomfortable","I do not know what this is.","Uncomfortable","Very Comfortable","Very Uncomfortable","Uncomfortable","Uncomfortable","Very Comfortable","Uncomfortable","16S rRNA amplicon based sequencing using illumina miseq. Use QIIME for analysis. Challenges include low quality reads, chimeras, unknown taxa. An additional resource includes the ribosomal database to find the identity of unknown classifications or close relatives. ","I can generate an OTU table and analyze using PERMANOVA and ordination (NMDS) analysis to determine differences in microbial community structure between the two plot types. The limitation of this analysis is that it is not replicated across other areas (only one farm). The sequencing will be very sensitive to genetic information, but not specific to taxonomic and functional sequences. It will be difficult to determine from what taxa the DNA came from in the sample, but could find functional genes that may be important in ecological functioning of the soil. Poor study for structural diversity, but good for functional diversity.","25","Graduate Student","Female","Caucasian/White","","C010"
"2017/08/07 9:25:34 AM AST","Low Ability","Low Ability","No Ability","No Ability","Low Ability","Intermediate Ability","I'm not sure what this is","No Ability","Intermediate Ability","Intermediate Ability","Agree","Agree","Disagree","Agree","Disagree","Agree","Strongly Agree","Disagree","Disagree","Strongly Disagree","Strongly Agree","Agree","Strongly Disagree","Disagree","Disagree","Agree","Disagree","Disagree","Disagree","Disagree","Disagree","Agree","Disagree","Agree","Agree","Disagree","Disagree","Disagree","Agree","Agree","Disagree","Agree","Agree","Agree","Disagree","Agree","Agree","Very Comfortable","I do not know what this is.","Comfortable","Comfortable","I do not know what this is.","Uncomfortable","Uncomfortable","Comfortable","Comfortable","Not sure about ""strategy""---only have experience with Illumina sequencing. For a non-model organism, library of expected genomes is probably slim, making identification tricky? Also unknown is difficulty of successfully extracting only gut microbiota of interest.","Could compare alpha- and beta-diversity (i.e., is corn vs. cow pasture more diverse overall within sample, what differences exist between communities associated with corn vs. cow pasture?). If environmental data is collected, could assess drivers of community structure associated with each treatment. Possibility for more ""cow-associated"" organisms in pasture, depending on question being asked this should be taken into consideration. ","31","Graduate Student","Female","Caucasian/White","","water1"
